target,n_decoys,n_acceptable_plus,n_medium_plus,n_high,n_positive,spearman,pearson,top20_spearman,auc_pos,auc_any,auc_med,auc_high,auc_dockq,success@1,success_any@1,success_med@1,success_high@1,hitrate@1,success@2,success_any@2,success_med@2,success_high@2,hitrate@2,success@5,success_any@5,success_med@5,success_high@5,hitrate@5,success@10,success_any@10,success_med@10,success_high@10,hitrate@10,success@100,success_any@100,success_med@100,success_high@100,hitrate@100
S-T090.1,109,56,37,0,53,-0.0651809772029595,-0.08275857339805086,0.6145167790726281,0.49157681940700804,0.48584905660377353,0.445945945945946,,0.48584905660377353,0,False,False,False,0.0,1,True,True,False,0.5,1,True,True,False,0.6,1,True,True,False,0.4,1,True,True,False,0.49
S-T091.1,110,91,64,0,88,-0.006681348803756774,0.0034876711429267246,-0.07218045112781954,0.644111570247934,0.6194331983805668,0.5054347826086957,,0.6194331983805668,1,True,False,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,0.82
S-T092.1,105,67,32,0,59,-0.1415020009012623,-0.011445789492376669,0.39127174357061095,0.5294767870302137,0.43637077769049487,0.3685787671232877,,0.43637077769049487,1,True,False,False,1.0,1,True,False,False,0.5,1,True,True,False,0.6,1,True,True,False,0.8,1,True,True,False,0.64
S-T093.1,110,77,62,0,86,-0.26875670607178004,-0.2929754427108892,0.11508086560356438,0.2601744186046512,0.18890200708382524,0.29032258064516125,,0.2174586776859504,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,False,False,False,0.1,1,True,True,False,0.8
S-T094.1,120,37,1,0,42,-0.2173559747117385,-0.16990072581788662,0.4723580627388133,0.36904761904761907,0.33409312927385215,0.865546218487395,,0.36904761904761907,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.2,1,True,True,False,0.31
S-T096.1,153,2,0,0,1,0.0009700466686744337,0.034493251282713626,-0.45563909774436084,0.14473684210526316,0.3807947019867549,,,0.3807947019867549,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,True,False,False,0.01
S-T097.1,150,18,5,0,12,-0.2185607663676335,-0.04638828091028568,-0.13233082706766916,0.5078502415458936,0.5568181818181819,0.3172413793103448,,0.5568181818181819,0,False,False,False,0.0,0,False,False,False,0.0,0,True,False,False,0.2,0,True,False,False,0.2,1,True,True,False,0.12
S-T098.1,150,0,0,0,0,-0.028319726693106412,0.0025753850061697825,0.05207584247794852,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T099.1,150,0,0,0,0,0.07111786767103005,0.05535569970079374,-0.040662696716141415,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T100.1,137,0,0,0,0,-0.266032833635856,-0.23712908904524443,0.6812030075187969,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
