target,n_decoys,n_acceptable_plus,n_medium_plus,n_high,n_positive,spearman,pearson,top20_spearman,auc_pos,auc_any,auc_med,auc_high,auc_dockq,success@1,success_any@1,success_med@1,success_high@1,hitrate@1,success@2,success_any@2,success_med@2,success_high@2,hitrate@2,success@5,success_any@5,success_med@5,success_high@5,hitrate@5,success@10,success_any@10,success_med@10,success_high@10,hitrate@10,success@100,success_any@100,success_med@100,success_high@100,hitrate@100
S-T132.1,189,9,1,0,9,-0.1327279348272509,0.022327135512154945,0.1807230965161841,0.42716049382716054,0.42716049382716054,0.9893617021276596,,0.4350828729281768,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.2,1,True,True,False,0.1,1,True,True,False,0.04
S-T133.1,200,86,38,0,86,-0.2942291588587428,-0.1813813778417649,-0.23626793746379202,0.35873113015095875,0.35873113015095875,0.49967511371020146,,0.3564871481028152,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.34
S-T136.1,160,157,98,0,157,0.025871667195084956,-0.08907832708269875,0.06922500078556963,0.6284501061571126,0.6284501061571126,0.4507899934167215,,,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0
S-T136.2,160,105,56,0,105,-0.4626314241700657,-0.31742906071432153,0.26355451575276845,0.18493506493506495,0.18493506493506495,0.3447802197802198,,0.8726114649681529,1,True,False,False,1.0,1,True,False,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0
S-T136.3,160,105,21,0,105,0.4664878455251342,0.4300587043216841,0.24349877447166793,0.8434632034632035,0.8434632034632035,0.6101404590613223,,0.4439102564102564,0,False,False,False,0.0,1,True,False,False,0.5,1,True,False,False,0.8,1,True,True,False,0.9,1,True,True,False,0.97
S-T138.1,153,0,0,0,0,0.3744693357795745,0.24122539337484702,-0.6832610273362395,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T138.2,170,0,0,0,0,-0.26943731546336425,-0.2711969521676099,0.143451186561397,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T140.1,180,155,135,0,155,-0.0310880829081361,0.23501036897515706,0.46385594772487243,0.512258064516129,0.512258064516129,0.5078189300411523,,0.5174825174825175,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.2,1,True,True,False,0.4,1,True,True,False,0.87
S-T141.1,179,23,0,0,23,0.3066506198198571,0.23435784444690083,0.1975740932544448,0.7034559643255296,0.7034559643255296,,,0.7034559643255296,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.19
S-T142.1,166,45,41,0,45,0.10187103114806241,0.1880209781005865,0.6918183964978223,0.6238751147842057,0.6238751147842057,0.6226341463414634,,0.6238751147842057,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.34
